date, pm25, pm10, o3, no2, so2, co
2020/10/1, 61, 92, 32, 66, 12, 12
2020/10/2, 81, 92, 39, 72, 11, 12
2020/10/3, 84, 90, 42, 71, 12, 12
2020/10/4, 89, 113, 64, 90, 14, 15
2020/10/5, 111, 135, 48, 98, 14, 17
2020/10/6, 125, 119, 64, 72, 12, 15
2020/10/7, 119, 87, 32, 64, 11, 14
2020/10/8, 86, 57, 22, 31, 9, 11
2020/10/9, 70, , , , , 
2020/9/1, 45, 48, 50, 35, 9, 8
2020/9/2, 53, 40, 49, 27, 9, 8
2020/9/3, 47, 40, 63, 26, 9, 8
2020/9/4, 45, 36, 52, 26, 9, 8
2020/9/5, 45, 48, 79, 38, 10, 9
2020/9/6, 61, 64, 84, 42, 10, 9
2020/9/7, 66, 63, 47, 35, 17, 13
2020/9/8, 60, 42, 46, 14, 7, 8
2020/9/9, 42, 27, 45, 28, 7, 7
2020/9/10, 45, 30, 47, 26, 7, 7
2020/9/11, 48, 30, 57, 21, 7, 7
2020/9/12, 49, 38, 58, 13, 7, 6
2020/9/13, 52, 34, 52, 21, 7, 6
2020/9/14, 42, 36, 57, 24, 7, 7
2020/9/15, 47, 36, 52, 22, 9, 7
2020/9/16, 50, 33, 46, 25, 9, 7
2020/9/17, 49, 50, 42, 33, 10, 9
2020/9/18, 55, 83, 43, 16, , 
2020/9/19, 44, , 42, 19, , 
2020/9/20, 25, , 43, 25, , 
2020/9/21, 31, , 46, 29, , 
2020/9/22, 38, 44, 37, 53, 10, 9
2020/9/23, 50, 75, 38, 62, 12, 11
2020/9/24, 74, 98, 41, 72, 10, 12
2020/9/25, 99, 101, 61, 56, 12, 13
2020/9/26, 87, 72, , , 9, 9
2020/9/27, 56, 91, 35, 64, 11, 11
2020/9/28, 57, 82, 26, 57, 10, 12
2020/9/29, 70, 56, 31, 49, 10, 10
2020/9/30, 58, 60, 34, 54, 11, 10
2020/8/1, 48, 24, 97, 15, 9, 5
2020/8/2, 42, 24, 77, 19, 9, 5
2020/8/3, 36, 28, 77, 21, 9, 5
2020/8/4, 28, 31, 89, 23, 9, 5
2020/8/5, 38, 35, 88, 24, 9, 5
2020/8/6, 41, 32, 93, 22, 9, 5
2020/8/7, 43, 30, 94, 19, 9, 6
2020/8/8, 46, 38, 101, 16, 9, 7
2020/8/9, 51, 34, 92, 27, 9, 7
2020/8/10, 52, 31, 84, 25, 9, 7
2020/8/11, 46, 35, 97, 32, 9, 7
2020/8/12, 53, 45, 86, 34, 9, 6
2020/8/13, 54, 34, 78, 23, 9, 6
2020/8/14, 39, 24, 88, 22, 9, 6
2020/8/15, 31, 23, 88, 26, 9, 5
2020/8/16, 34, 26, 49, 28, 9, 5
2020/8/17, 37, 37, 51, 35, 9, 6
2020/8/18, 47, 48, 53, 33, 9, 6
2020/8/19, 56, 41, 44, 44, 9, 6
2020/8/20, 54, 53, 45, 41, 10, 8
2020/8/21, 64, 52, 46, 34, 10, 8
2020/8/22, 64, 50, 57, 29, 9, 7
2020/8/23, 60, 47, 48, 31, 9, 8
2020/8/24, 58, 34, 48, 30, 9, 7
2020/8/25, 47, 37, 46, 29, 9, 7
2020/8/26, 40, 46, 48, 36, 9, 8
2020/8/27, 51, 52, 51, 44, 9, 8
2020/8/28, 54, 43, 46, 25, 9, 7
2020/8/29, 43, 31, 46, 15, 9, 6
2020/8/30, 40, 24, 46, 24, 9, 7
2020/8/31, 42, 36, 57, 32, 9, 8
2020/7/1, 71, 64, 47, 20, , 60
2020/7/2, 57, 46, 54, 21, 6, 19
2020/7/3, 46, 45, 57, 23, 2, 4
2020/7/4, 52, , 54, 19, 2, 1
2020/7/5, 56, , 56, 22, 2, 1
2020/7/6, 54, 53, 55, 22, 1, 5
2020/7/7, 56, 37, 50, 15, 1, 4
2020/7/8, 50, 24, 51, 22, 9, 1
2020/7/9, 30, 36, 51, 22, 9, 
2020/7/10, 31, 40, 64, 18, 9, 
2020/7/11, 38, 39, 75, 17, 9, 
2020/7/12, 48, 45, 50, 20, 9, 
2020/7/13, 49, 22, 50, 18, 9, 
2020/7/14, 29, 25, 46, 23, 9, 
2020/7/15, 28, 40, 61, 28, 9, 
2020/7/16, 36, 53, 61, 36, 9, 
2020/7/17, 41, 38, 59, , 9, 
2020/7/18, 41, 31, , , 9, 
2020/7/20, 53, 39, 79, 30, 9, 
2020/7/21, 58, 39, 85, 25, 9, 
2020/7/22, 53, 33, 87, 23, 8, 4
2020/7/23, 47, 34, 82, 21, 5, 4
2020/7/24, 50, 34, 86, 21, 5, 4
2020/7/25, 48, 41, 91, 19, 5, 4
2020/7/26, 50, 48, 95, 29, 5, 5
2020/7/27, 51, 43, 91, 27, 9, 5
2020/7/28, 56, 63, 91, 38, 9, 5
2020/7/29, 58, 60, 100, 27, 9, 5
2020/7/30, 56, 30, 78, 18, 9, 5
2020/7/31, 50, 23, 83, 22, 9, 6
2020/6/1, 51, , 29, , 10, 4
2020/6/2, 54, , 32, , 10, 5
2020/6/3, 57, , 45, , 10, 5
2020/6/4, 61, 46, 43, , 11, 4
2020/6/5, 59, 38, 20, , 12, 7
2020/6/6, 71, , , , , 
2020/6/29, 53, 51, 51, 45, 13, 58
2020/6/30, 57, 63, 45, 36, 13, 60
2020/5/30, 44, , 59, , 10, 1
2020/5/31, 50, , 47, , 10, 3
2020/4/1, 69, 1, 37, 139, 9, 21
2020/4/2, 59, 1, 42, 73, 9, 21
2020/4/3, 57, , 33, , 9, 
2020/4/10, 68, 73, 52, 126, 9, 25
2020/4/11, 110, 38, 47, 116, 8, 21
2020/4/12, 64, 25, 39, 118, 8, 18
2020/4/13, 60, 56, 18, 37, 9, 4
2020/4/14, 92, 39, , 23, 9, 1
2020/4/15, 67, 21, , 30, 9, 
2020/4/16, 39, 60, , 29, 10, 3
2020/4/17, 66, 71, , 28, 10, 4
2020/4/18, 95, 50, , 14, 10, 3
2020/4/19, 99, 69, , , , 
2020/4/20, 87, 30, , 27, 9, 3
2020/4/21, 68, 24, , 21, 9, 3
2020/4/22, 61, 21, , , 9, 2
2020/4/23, 39, 16, , 24, 9, 2
2020/4/24, 38, 25, , , 9, 3
2020/4/25, 45, 32, , , 9, 3
2020/4/26, 62, 36, , , 9, 3
2020/4/27, 59, 41, , , 10, 3
2020/4/28, 58, 60, , , 11, 4
2020/4/29, 51, 101, , , , 
2020/4/30, 76, , , , , 
2020/3/1, 66, 94, 27, 69, 12, 20
2020/3/2, 129, 59, 28, 69, 12, 15
2020/3/3, 87, 117, 17, 77, 14, 24
2020/3/4, 131, 149, 12, , 13, 
2020/3/5, 146, , , , , 
2020/3/7, 76, , 25, , 12, 
2020/3/8, 112, , 32, , 10, 
2020/3/9, 115, , 35, , 10, 
2020/3/10, 77, , 31, , 10, 
2020/3/11, 96, , 33, , 11, 
2020/3/12, 111, 58, 39, 67, 9, 16
2020/3/13, 93, 55, 36, 62, 9, 18
2020/3/14, 80, 41, 41, 48, 8, 16
2020/3/15, 63, 18, 38, 39, 8, 17
2020/3/16, 44, 11, 38, 50, 8, 17
2020/3/17, 42, 5, 36, 65, 8, 19
2020/3/18, 59, 3, 42, 53, 8, 18
2020/3/19, 57, 4, 32, 74, 9, 20
2020/3/20, 77, 6, 26, 94, 10, 22
2020/3/21, 118, 6, 42, 146, 10, 22
2020/3/22, 124, 3, 38, 94, 9, 18
2020/3/23, 86, 1, 35, , 9, 19
2020/3/24, 59, 1, 32, 102, 8, 19
2020/3/25, 49, 1, 34, 108, 7, 19
2020/3/26, 51, 2, 34, 102, 6, 18
2020/3/27, 62, 3, 34, 56, 8, 19
2020/3/28, 91, 2, 33, , 9, 20
2020/3/29, 77, 3, 31, 177, 10, 20
2020/3/30, 80, 2, 33, 128, 9, 23
2020/3/31, 109, 2, 38, 146, 8, 20
2020/2/1, 42, 2, 4, 1, , 12
2020/2/2, 42, 2, 6, , , 9
2020/2/4, 64, 22, 7, 50, 8, 8
2020/2/5, 59, 17, 5, 35, 8, 9
2020/2/6, 42, 16, 5, 39, 8, 9
2020/2/7, 35, 17, 5, 29, 8, 12
2020/2/8, 37, 20, 5, 37, 8, 18
2020/2/9, 47, 59, 4, 42, 8, 13
2020/2/10, 86, 34, 5, 52, 8, 9
2020/2/11, 63, 28, 4, 42, 8, 9
2020/2/12, 58, , , , , 
2020/2/24, 70, 51, 24, 68, 9, 13
2020/2/25, 60, 47, 29, 70, 12, 13
2020/2/26, 68, 31, 40, 46, 12, 11
2020/2/27, 60, 28, 32, 55, 10, 13
2020/2/28, 49, 50, 33, 53, 10, 15
2020/2/29, 67, 51, 29, 63, 9, 15
2020/1/1, 70, 19, 6, 27, , 2
2020/1/2, 46, 11, 4, 37, , 3
2020/1/3, 35, 55, 4, 42, 1, 7
