date, pm25, pm10, o3, no2, so2, co
2020/8/1, 48, 14, 18, 16, 2, 2
2020/8/2, 42, 11, 17, 11, 1, 1
2020/8/3, 36, 10, 12, 14, 1, 1
2020/8/4, 28, 9, , , , 
2020/8/5, 35, , , , , 
2020/7/1, 71, 32, 6, 21, 2, 4
2020/7/2, 57, 20, 5, 22, 2, 2
2020/7/3, 46, 19, 5, 19, 1, 3
2020/7/4, 52, 24, 7, 20, 1, 3
2020/7/5, 56, 21, 9, 23, 1, 
2020/7/6, 54, 32, 8, 23, 1, 
2020/7/7, 56, 28, 10, 24, 7, 54
2020/7/8, 50, 16, 14, 14, 2, 1
2020/7/9, 30, 16, 18, 13, 1, 2
2020/7/10, 31, 18, 24, 12, 1, 1
2020/7/11, 38, 23, 16, 16, , 1
2020/7/12, 48, 18, 14, 18, , 2
2020/7/13, 49, 18, 18, 15, 1, 2
2020/7/14, 29, 16, 16, 13, 2, 1
2020/7/15, 28, 12, 13, 22, 1, 2
2020/7/16, 36, 12, 17, 18, 1, 3
2020/7/17, 40, 15, 16, 13, 1, 2
2020/7/21, 58, 15, 17, 20, , 1
2020/7/22, 53, 17, 15, 17, 1, 
2020/7/23, 47, 21, 17, 14, 1, 1
2020/7/24, 50, 20, 22, 15, 1, 
2020/7/25, 48, 21, 14, 17, 1, 1
2020/7/26, 50, 22, 13, 23, 1, 1
2020/7/27, 51, 21, 11, 16, , 2
2020/7/28, 56, 17, 11, 29, 1, 2
2020/7/29, 58, 22, 15, 16, , 3
2020/7/30, 56, 17, 10, 8, 1, 2
2020/7/31, 50, 14, 9, 12, 2, 3
2020/6/1, 51, 25, 7, 34, 1, 2
2020/6/2, 54, 19, 5, 34, , 2
2020/6/3, 57, 27, 5, 39, 1, 2
2020/6/4, 61, 32, 4, 43, 2, 1
2020/6/5, 59, 36, 10, 44, 4, 2
2020/6/6, 77, 38, 7, 38, 1, 2
2020/6/7, 76, 28, 5, 35, 2, 1
2020/6/8, 65, 24, 11, 37, 1, 2
2020/6/9, 72, 24, 32, 38, 13, 8
2020/6/10, 63, 23, 9, 38, 1, 4
2020/6/11, 56, 31, 4, 32, 2, 5
2020/6/12, 60, 26, 7, 30, 1, 2
2020/6/13, 50, 30, 5, 30, 1, 1
2020/6/14, 58, 32, 5, 29, 1, 2
2020/6/15, 61, 26, 7, 25, 1, 1
2020/6/16, 62, 29, 12, 20, 1, 1
2020/6/17, 69, , , , , 
2020/6/18, 70, , , , , 
2020/6/19, 77, , , , , 
2020/6/20, 73, , , , , 
2020/6/22, 24, 19, 9, 26, 1, 3
2020/6/23, 47, 35, 3, 39, 1, 7
2020/6/24, 60, 36, 4, 25, 1, 4
2020/6/25, 54, , , , , 
2020/6/29, 53, 27, 6, 31, 1, 3
2020/6/30, 57, 44, 5, 33, 1, 4
2020/5/1, 64, 23, 12, 14, 3, 1
2020/5/2, 61, 18, 11, 13, 2, 1
2020/5/3, 50, 15, 13, 8, 1, 1
2020/5/4, 47, 20, 5, 17, 1, 2
2020/5/5, 49, 23, 8, 20, 2, 4
2020/5/6, 68, 16, 12, 16, 1, 3
2020/5/7, 52, 26, 11, 27, 2, 2
2020/5/8, 80, 18, 22, 14, 1, 
2020/5/9, 71, 15, 17, 15, 3, 1
2020/5/10, 61, 25, 7, 32, 6, 2
2020/5/11, 67, 28, 9, 23, 3, 1
2020/5/12, 69, 36, 9, 17, 2, 1
2020/5/13, 56, 31, 11, 19, , 1
2020/5/14, 62, 40, 3, 33, 4, 2
2020/5/15, 92, 40, 18, 14, 2, 1
2020/5/16, 82, 27, 16, 7, , 1
2020/5/17, 63, 27, 15, 9, , 1
2020/5/18, 67, 17, 16, 8, , 1
2020/5/19, 50, 22, 12, 26, , 2
2020/5/20, 51, 32, 8, 18, , 2
2020/5/21, 62, 19, 11, 16, , 1
2020/5/22, 51, 17, 16, 27, , 1
2020/5/23, 74, 15, 18, , 1, 
2020/5/24, 50, 15, 15, , 1, 
2020/5/25, 51, 14, 18, , , 1
2020/5/26, 38, 12, 17, 26, , 1
2020/5/27, 32, 12, 8, 32, , 2
2020/5/28, 39, 21, 5, 33, , 2
2020/5/29, 61, 21, 13, 28, 1, 
2020/5/30, 54, 15, 16, 23, 1, 
2020/5/31, 50, 21, 11, 33, 1, 4
2020/4/10, 65, 19, 5, 52, 1, 4
2020/4/11, 79, 30, 22, 28, 1, 3
2020/4/12, 67, 24, 21, 4, 1, 1
2020/4/13, 62, 20, 19, 29, 1, 2
2020/4/14, 89, 33, 7, 47, 4, 3
2020/4/15, 94, 28, 17, 16, , 1
2020/4/16, 58, 16, 11, 23, 1, 1
2020/4/17, 66, 23, 9, 36, 3, 3
2020/4/18, 95, 32, 15, 34, 4, 2
2020/4/19, 99, 29, 11, 32, 5, 2
2020/4/20, 87, 17, 14, 29, 1, 2
2020/4/21, 68, 11, 17, 14, , 1
2020/4/22, 61, 16, 16, 12, , 
2020/4/23, 39, 12, 21, 4, , 
2020/4/24, 38, 11, 21, 4, 1, 
2020/4/25, 45, 14, 21, 11, 1, 
2020/4/26, 62, 16, 23, 16, 2, 1
2020/4/27, 59, 20, 20, 26, 1, 2
2020/4/28, 58, 17, 19, 22, 1, 1
2020/4/29, 51, 18, 12, 27, 4, 2
2020/4/30, 78, 31, 7, 28, 3, 4
2020/3/1, 11, 41, 5, 36, 4, 7
2020/3/2, 9, 43, 4, , 4, 4
2020/3/3, 16, 43, 4, 47, 5, 5
2020/3/4, 27, 54, , , , 
2020/3/13, 80, 54, 11, 29, 1, 3
2020/3/14, 80, 45, 12, 20, , 1
2020/3/15, 72, 26, 12, 20, , 1
2020/3/16, 54, 31, 13, 23, 1, 1
2020/3/17, 51, 31, 12, 25, , 1
2020/3/18, 49, 35, 13, 20, 1, 2
2020/3/19, 59, 41, 11, 31, 1, 2
2020/3/20, 67, 48, 7, 34, 1, 2
2020/3/21, 79, , 13, 24, 3, 3
2020/3/22, 85, 999, 14, 20, , 1
2020/3/23, 80, 999, 13, 16, 1, 1
2020/3/24, 61, 21, 12, 14, , 1
2020/3/25, 39, 35, 13, 14, , 1
2020/3/26, 51, 92, 12, 17, , 1
2020/3/27, 21, 120, 12, 17, , 2
2020/3/28, 16, 73, 12, 16, , 3
2020/2/1, 71, 47, 320, 39, 5, 5
2020/2/2, 95, 39, 499, 39, 2, 3
2020/2/3, 89, 30, 439, 34, 3, 3
2020/2/4, 78, 31, 352, 33, 1, 3
2020/2/5, 75, 22, 234, 30, 1, 2
2020/2/6, 53, 19, 263, 32, 1, 3
2020/2/7, 44, 22, 14, , 1, 2
2020/2/8, 56, 75, 14, , 2, 3
2020/2/9, 68, 31, 15, , 3, 3
2020/2/10, 75, 24, 40, , 3, 3
2020/2/11, 69, 34, 21, , 1, 3
2020/2/12, 78, , , , , 
2020/2/24, 77, 26, 7, 27, 2, 2
2020/2/25, 65, 29, 3, 31, 4, 3
2020/2/26, 71, 33, 11, 20, 3, 2
2020/2/27, 42, 24, 7, 27, 1, 2
2020/2/28, 11, 25, 7, 24, 1, 3
2020/2/29, 14, 20, 6, 32, 1, 3
2020/1/1, 71, 19, 6, 28, 1, 2
2020/1/2, 54, 10, 6, 31, 1, 2
2020/1/3, 33, 31, 3, 41, 7, 6
2020/1/4, 77, 55, 3, 34, 2, 7
2020/1/5, 138, 29, 8, 20, , 2
2020/1/6, 71, 11, 10, 22, , 2
2020/1/7, 32, 12, 9, 30, 1, 2
2020/1/8, 29, 19, 10, 30, , 3
2020/1/9, 45, 22, 9, 33, 2, 4
2020/1/10, 61, 45, 10, 38, 3, 7
2020/1/11, 110, 49, 12, 28, 2, 4
2020/1/12, 124, 21, 12, 24, 1, 2
2020/1/13, 62, 18, 90, 27, 2, 2
2020/1/14, 53, 27, 95, 28, 1, 3
2020/1/15, 75, 18, 93, 25, 1, 2
2020/1/16, 57, 14, 102, 25, , 2
2020/1/17, 42, 13, 114, 25, 1, 2
2020/1/18, 46, 18, 51, 28, 1, 2
2020/1/19, 53, 19, 138, 29, 1, 3
2020/1/20, 50, 27, 11, 30, 1, 4
