date, pm25, pm10, o3, no2, so2, co
2020/9/9, 56, 36, 22, 13, 16, 63
2020/9/10, 60, 33, 19, 15, 16, 63
2020/9/11, 32, 32, 29, 15, 17, 63
2020/9/12, 33, 31, 36, 14, 17, 63
2020/9/13, 40, 36, 11, 11, 16, 63
2020/9/14, 34, 118, 10, 35, 36, 91
2020/9/15, 34, 959, 10, 479, 479, 481
2020/9/16, 38, 999, 9, 500, 500, 500
2020/9/17, 35, 394, 28, 201, 198, 227
2020/9/18, 46, 395, 11, 19, 17, 199
2020/9/19, 35, 999, , 479, 479, 481
2020/9/20, 19, 999, , 500, 500, 500
2020/9/21, 22, 430, , 218, 218, 247
2020/9/22, 29, 26, , 20, 16, 45
2020/9/23, 36, 33, 22, 30, 17, 47
2020/8/11, 46, 31, , 16, 16, 58
2020/8/12, 53, 29, , 16, 16, 57
2020/8/13, 54, 31, , 16, 16, 57
2020/8/14, 39, 21, , 13, 16, 56
2020/8/15, 31, 19, , 14, 16, 56
2020/8/16, 34, 20, , 10, 16, 56
2020/8/17, 37, 22, , 13, 16, 56
2020/8/18, 47, 25, , 19, 16, 57
2020/8/19, 56, 28, , 21, 17, 58
2020/8/20, 54, 28, , 28, 17, 58
2020/7/2, 54, 42, 22, 11, 11, 57
2020/7/3, 46, 31, , 11, 7, 59
2020/7/4, 52, 30, , 8, 15, 59
2020/7/5, 56, 33, , 8, 15, 59
2020/7/6, 54, 36, , 20, 16, 59
2020/7/7, 56, 41, , 17, 16, 60
2020/7/8, 58, 41, , 10, 15, 58
2020/5/18, 67, 48, , 8, 28, 54
2020/5/19, 50, 27, , 8, 18, 55
2020/5/20, 51, 73, 8, 66, 29, 64
2020/5/21, 62, 57, 17, 18, 20, 58
2020/5/22, 51, 31, 24, 14, 17, 54
2020/5/23, 74, 26, 30, 15, 16, 53
2020/5/24, 55, 17, 33, 10, 16, 52
2020/4/1, 69, 31, , 17, 16, 49
2020/4/2, 54, 27, , 28, 15, 50
2020/4/3, 49, 44, , 36, 16, 54
2020/4/10, 65, 50, 29, 29, 15, 53
2020/4/11, 101, 34, 27, 7, 15, 47
2020/4/12, 59, 30, 20, 26, 15, 49
2020/4/13, 48, 45, 14, 39, 19, 51
2020/4/14, 81, 38, 19, 14, 16, 49
2020/4/15, 65, 22, 13, 16, 15, 48
2020/4/16, 29, 31, 9, 35, 18, 50
2020/3/1, 58, 40, 7, 42, 19, 50
2020/3/2, 97, 42, 8, 51, 20, 52
2020/3/3, 86, 53, 1, 55, 21, 56
2020/3/4, 109, 67, , 47, 21, 57
2020/3/5, 153, 43, , 26, 18, 50
2020/3/13, 82, 49, 8, 36, 17, 52
2020/3/14, 83, 37, 12, 15, 15, 48
2020/3/15, 68, 20, 13, 14, 14, 46
2020/3/16, 26, 22, 13, 18, 14, 46
2020/3/17, 32, 23, 9, 24, 15, 48
2020/3/18, 44, 30, 17, 21, 16, 48
2020/3/19, 53, 43, 8, 35, 16, 50
2020/3/20, 71, 47, 7, 45, 18, 53
2020/3/21, 104, 40, 15, 28, 18, 51
2020/3/22, 102, 35, 16, 18, 15, 49
2020/3/23, 72, 26, 14, 17, 15, 49
2020/3/24, 55, 20, 16, 15, 15, 48
2020/3/25, 37, 28, , 13, 15, 48
2020/3/26, 45, 71, , 15, 15, 49
